Module Name,Unit,Block Name,Ports,Inferred Type,Freq[Mhz],Lines,Width,Protection,Total Signature Bits,Write Segment Size,Instantiations,Init,Interleaving,Protection Resolution,Write Segment W/O Signature Size,Width W/O Signature,Type,Words|Number of Rules, Bits/Word,Bit Enable|Slice Enable,Folded,Column Mux,Redundancy,Rows,Columns,Total Instances,Name
mem_map_domain_profile_shell_512x64,map_domain_profile,class_gpa,1rw,SRAM,1225,512,72,ECC,8,72,1,No,1,64,64,64,SRAM,512,,0,0,0,0,1,1,1,
mem_map_dscp_tc_shell_2048x64,map_dscp_tc,class_gpa,1rw,SRAM,1225,2048,72,ECC,8,72,1,No,1,64,64,64,SRAM,2048,,0,0,0,0,1,1,1,
mem_map_exp_tc_shell_32x64,map_exp_tc,class_gpa,1r1w,FLOPS,1225,32,72,ECC,8,72,1,No,1,64,64,64,FLOPS,32,,0,0,0,0,1,1,1,
mem_map_extract_shell_16x64,map_extract,class_gpa,1r1w,FLOPS,1225,16,72,ECC,8,72,3,No,1,64,64,64,FLOPS,16,,0,0,0,0,1,1,1,
mem_map_ip_cfg_shell_16x64,map_ip_cfg,class_gpa,1r1w,FLOPS,1225,16,72,ECC,8,72,1,No,1,64,64,64,FLOPS,16,,0,0,0,0,1,1,1,
mem_map_ip_hi_shell_16x64,map_ip_hi,class_gpa,1r1w,FLOPS,1225,16,72,ECC,8,72,1,No,1,64,64,64,FLOPS,16,,0,0,0,0,1,1,1,
mem_map_ip_lo_shell_16x64,map_ip_lo,class_gpa,1r1w,FLOPS,1225,16,72,ECC,8,72,1,No,1,64,64,64,FLOPS,16,,0,0,0,0,1,1,1,
mem_map_l4_dst_shell_64x64,map_l4_dst,class_gpa,1rw,RF,1225,64,72,ECC,8,72,1,No,1,64,64,64,RF,64,,0,0,0,0,1,1,1,
mem_map_l4_src_shell_64x64,map_l4_src,class_gpa,1rw,RF,1225,64,72,ECC,8,72,1,No,1,64,64,64,RF,64,,0,0,0,0,1,1,1,
mem_map_len_limit_shell_33x64,map_len_limit,class_gpa,1r1w,FLOPS,1225,33,72,ECC,8,72,1,No,1,64,64,64,FLOPS,33,,0,0,0,0,1,1,1,
mem_map_mac_shell_96x128,map_mac,class_gpa,1rw,RF,1225,96,144,ECC,16,144,1,No,1,64,128,128,RF,96,,0,0,0,0,1,1,1,
mem_map_port_shell_33x64,map_port,class_gpa,1r1w,FLOPS,1225,33,72,ECC,8,72,1,No,1,64,64,64,FLOPS,33,,0,0,0,0,1,1,1,
mem_map_port_cfg_shell_33x64,map_port_cfg,class_gpa,1r1w,FLOPS,1225,33,72,ECC,8,72,1,No,1,64,64,64,FLOPS,33,,0,0,0,0,1,1,1,
mem_map_port_default_shell_6x64,map_port_default,class_gpa,1r1w,FLOPS,1225,6,72,ECC,8,72,33,No,1,64,64,64,FLOPS,6,,0,0,0,0,1,1,1,
mem_map_profile_action_shell_96x64,map_profile_action,class_gpa,1rw,RF,1225,96,72,ECC,8,72,1,No,1,64,64,64,RF,96,,0,0,0,0,1,1,1,
mem_map_profile_key0_shell_96x80,map_profile_key0,class_gpa,1r1w,RF,1225,96,88,ECC,8,88,1,No,1,80,80,80,RF,96,,0,0,0,0,1,1,1,
mem_map_profile_key1_shell_96x80,map_profile_key1,class_gpa,1r1w,RF,1225,96,88,ECC,8,88,1,No,1,80,80,80,RF,96,,0,0,0,0,1,1,1,
mem_map_profile_key_invert0_shell_96x80,map_profile_key_invert0,class_gpa,1r1w,RF,1225,96,88,ECC,8,88,1,No,1,80,80,80,RF,96,,0,0,0,0,1,1,1,
mem_map_profile_key_invert1_shell_96x80,map_profile_key_invert1,class_gpa,1r1w,RF,1225,96,88,ECC,8,88,1,No,1,80,80,80,RF,96,,0,0,0,0,1,1,1,
mem_map_prot_shell_8x64,map_prot,class_gpa,1r1w,FLOPS,1225,8,72,ECC,8,72,1,No,1,64,64,64,FLOPS,8,,0,0,0,0,1,1,1,
mem_map_rewrite_shell_32x64,map_rewrite,class_gpa,1r1w,FLOPS,1225,32,72,ECC,8,72,16,No,1,64,64,64,FLOPS,32,,0,0,0,0,1,1,1,
mem_map_type_shell_16x64,map_type,class_gpa,1r1w,FLOPS,1225,16,72,ECC,8,72,1,No,1,64,64,64,FLOPS,16,,0,0,0,0,1,1,1,
mem_map_vpri_shell_32x64,map_vpri,class_gpa,1r1w,FLOPS,1225,32,72,ECC,8,72,1,No,1,64,64,64,FLOPS,32,,0,0,0,0,1,1,1,
mem_map_vpri_tc_shell_32x64,map_vpri_tc,class_gpa,1r1w,FLOPS,1225,32,72,ECC,8,72,1,No,1,64,64,64,FLOPS,32,,0,0,0,0,1,1,1,
mem_mc_reorder_buf_shell_150x480,mc_reorder_buf,mce,1r1w,RF,1225,150,490,ECC,10,490,1,No,1,480,480,480,RF,150,,0,0,0,0,1,1,1,
mem_mem_EPL_MDATA_shell_240x32,mem_EPL_MDATA,egr,1r1w,RF,1225,240,39,ECC,7,39,4,No,1,32,32,32,RF,240,,0,0,0,0,1,1,1,
mem_mem_pod_ptr_shell_2048x30,mem_pod_ptr,gpm,1rw,SRAM,1225,2048,37,ECC,7,37,4,No,1,30,30,30,SRAM,2048,,0,0,0,0,1,1,1,
mem_mem_pointers_shell_1024x2208,mem_pointers,gpm,1rw,SRAM,1225,1024,2352,ECC,144,147,8,No,1,138,138,2208,SRAM,1024,,0,0,0,0,1,1,1,
